[2026-01-07 18:04:20.624] [info]    [FILE] System.Runtime.Handles.dll (15624 bytes)
[2026-01-07 18:04:20.625] [info]    [FILE] System.Runtime.InteropServices.dll (88328 bytes)
[2026-01-07 18:04:20.625] [info]    [FILE] System.Runtime.InteropServices.JavaScript.dll (51464 bytes)
[2026-01-07 18:04:20.626] [info]    [FILE] System.Runtime.InteropServices.RuntimeInformation.dll (15624 bytes)
[2026-01-07 18:04:20.627] [info]    [FILE] System.Runtime.Intrinsics.dll (17200 bytes)
[2026-01-07 18:04:20.628] [info]    [FILE] System.Runtime.Loader.dll (16136 bytes)
[2026-01-07 18:04:20.628] [info]    [FILE] System.Runtime.Numerics.dll (313648 bytes)
[2026-01-07 18:04:20.629] [info]    [FILE] System.Runtime.Serialization.dll (17160 bytes)
[2026-01-07 18:04:20.629] [info]    [FILE] System.Runtime.Serialization.Formatters.dll (293136 bytes)
[2026-01-07 18:04:20.630] [info]    [FILE] System.Runtime.Serialization.Json.dll (16144 bytes)
[2026-01-07 18:04:20.631] [info]    [FILE] System.Runtime.Serialization.Primitives.dll (39224 bytes)
[2026-01-07 18:04:20.632] [info]    [FILE] System.Runtime.Serialization.Xml.dll (17200 bytes)
[2026-01-07 18:04:20.632] [info]    [FILE] System.Security.AccessControl.dll (211208 bytes)
[2026-01-07 18:04:20.633] [info]    [FILE] System.Security.Claims.dll (92472 bytes)
[2026-01-07 18:04:20.634] [info]    [FILE] System.Security.Cryptography.Algorithms.dll (17712 bytes)
[2026-01-07 18:04:20.639] [info]    [FILE] System.Security.Cryptography.Cng.dll (16648 bytes)
[2026-01-07 18:04:20.641] [info]    [FILE] System.Security.Cryptography.Csp.dll (16144 bytes)
[2026-01-07 18:04:20.642] [info]    [FILE] System.Security.Cryptography.dll (1792264 bytes)
[2026-01-07 18:04:20.642] [info]    [FILE] System.Security.Cryptography.Encoding.dll (16136 bytes)
