[2026-01-07 20:32:52.963] [info]    [FILE] System.Reflection.dll (16648 bytes)
[2026-01-07 20:32:52.964] [info]    [FILE] System.Reflection.Emit.dll (125232 bytes)
[2026-01-07 20:32:52.966] [info]    [FILE] System.Reflection.Emit.ILGeneration.dll (16136 bytes)
[2026-01-07 20:32:52.967] [info]    [FILE] System.Reflection.Emit.Lightweight.dll (16136 bytes)
[2026-01-07 20:32:52.968] [info]    [FILE] System.Reflection.Extensions.dll (15624 bytes)
[2026-01-07 20:32:52.969] [info]    [FILE] System.Reflection.Metadata.dll (1063184 bytes)
[2026-01-07 20:32:52.970] [info]    [FILE] System.Reflection.Primitives.dll (16136 bytes)
[2026-01-07 20:32:52.970] [info]    [FILE] System.Reflection.TypeExtensions.dll (43272 bytes)
[2026-01-07 20:32:52.971] [info]    [FILE] System.Resources.Reader.dll (15672 bytes)
[2026-01-07 20:32:52.972] [info]    [FILE] System.Resources.ResourceManager.dll (16136 bytes)
[2026-01-07 20:32:52.973] [info]    [FILE] System.Resources.Writer.dll (51464 bytes)
[2026-01-07 20:32:52.974] [info]    [FILE] System.Runtime.CompilerServices.Unsafe.dll (15664 bytes)
[2026-01-07 20:32:52.975] [info]    [FILE] System.Runtime.CompilerServices.VisualC.dll (30992 bytes)
[2026-01-07 20:32:52.976] [info]    [FILE] System.Runtime.dll (43792 bytes)
[2026-01-07 20:32:52.977] [info]    [FILE] System.Runtime.Extensions.dll (18184 bytes)
[2026-01-07 20:32:52.978] [info]    [FILE] System.Runtime.Handles.dll (15624 bytes)
[2026-01-07 20:32:52.979] [info]    [FILE] System.Runtime.InteropServices.dll (88328 bytes)
[2026-01-07 20:32:52.980] [info]    [FILE] System.Runtime.InteropServices.JavaScript.dll (51464 bytes)
[2026-01-07 20:32:52.981] [info]    [FILE] System.Runtime.InteropServices.RuntimeInformation.dll (15624 bytes)
[2026-01-07 20:32:52.982] [info]    [FILE] System.Runtime.Intrinsics.dll (17200 bytes)
[2026-01-07 20:32:52.983] [info]    [FILE] System.Runtime.Loader.dll (16136 bytes)
[2026-01-07 20:32:52.984] [info]    [FILE] System.Runtime.Numerics.dll (313648 bytes)
[2026-01-07 20:32:52.985] [info]    [FILE] System.Runtime.Serialization.dll (17160 bytes)
[2026-01-07 20:32:52.986] [info]    [FILE] System.Runtime.Serialization.Formatters.dll (293136 bytes)
[2026-01-07 20:32:52.987] [info]    [FILE] System.Runtime.Serialization.Json.dll (16144 bytes)
[2026-01-07 20:32:52.988] [info]    [FILE] System.Runtime.Serialization.Primitives.dll (39224 bytes)
[2026-01-07 20:32:52.988] [info]    [FILE] System.Runtime.Serialization.Xml.dll (17200 bytes)
[2026-01-07 20:32:52.989] [info]    [FILE] System.Security.AccessControl.dll (211208 bytes)
[2026-01-07 20:32:52.990] [info]    [FILE] System.Security.Claims.dll (92472 bytes)
[2026-01-07 20:32:52.991] [info]    [FILE] System.Security.Cryptography.Algorithms.dll (17712 bytes)
[2026-01-07 20:32:52.992] [info]    [FILE] System.Security.Cryptography.Cng.dll (16648 bytes)
[2026-01-07 20:32:52.993] [info]    [FILE] System.Security.Cryptography.Csp.dll (16144 bytes)
[2026-01-07 20:32:52.998] [info]    [FILE] System.Security.Cryptography.dll (1792264 bytes)
[2026-01-07 20:32:52.999] [info]    [FILE] System.Security.Cryptography.Encoding.dll (16136 bytes)
[2026-01-07 20:32:53.000] [info]    [FILE] System.Security.Cryptography.OpenSsl.dll (15664 bytes)
[2026-01-07 20:32:53.001] [info]    [FILE] System.Security.Cryptography.Pkcs.dll (319776 bytes)
[2026-01-07 20:32:53.001] [info]    [FILE] System.Security.Cryptography.Primitives.dll (16136 bytes)
[2026-01-07 20:32:53.002] [info]    [FILE] System.Security.Cryptography.X509Certificates.dll (17208 bytes)
[2026-01-07 20:32:53.003] [info]    [FILE] System.Security.dll (18696 bytes)
[2026-01-07 20:32:53.004] [info]    [FILE] System.Security.Permissions.dll (114448 bytes)
[2026-01-07 20:32:53.004] [info]    [FILE] System.Security.Principal.dll (15632 bytes)
[2026-01-07 20:32:53.005] [info]    [FILE] System.Security.Principal.Windows.dll (166152 bytes)
[2026-01-07 20:32:53.006] [info]    [FILE] System.Security.SecureString.dll (15624 bytes)
[2026-01-07 20:32:53.007] [info]    [FILE] System.ServiceModel.Web.dll (17160 bytes)
[2026-01-07 20:32:53.007] [info]    [FILE] System.ServiceProcess.dll (16136 bytes)
[2026-01-07 20:32:53.008] [info]    [FILE] System.Text.Encoding.CodePages.dll (858416 bytes)
[2026-01-07 20:32:53.008] [info]    [FILE] System.Text.Encoding.dll (16184 bytes)
[2026-01-07 20:32:53.009] [info]    [FILE] System.Text.Encoding.Extensions.dll (16136 bytes)
[2026-01-07 20:32:53.010] [info]    [FILE] System.Text.Encodings.Web.dll (125192 bytes)
[2026-01-07 20:32:53.010] [info]    [FILE] System.Text.Json.dll (1386808 bytes)
[2026-01-07 20:32:53.011] [info]    [FILE] System.Text.RegularExpressions.dll (960776 bytes)
[2026-01-07 20:32:53.011] [info]    [FILE] System.Threading.Channels.dll (121096 bytes)
[2026-01-07 20:32:53.012] [info]    [FILE] System.Threading.dll (80184 bytes)
[2026-01-07 20:32:53.013] [info]    [FILE] System.Threading.Overlapped.dll (16136 bytes)
[2026-01-07 20:32:53.014] [info]    [FILE] System.Threading.Tasks.Dataflow.dll (440584 bytes)
[2026-01-07 20:32:53.015] [info]    [FILE] System.Threading.Tasks.dll (17168 bytes)
